,Weeks to Event,EventType,StatusCreatedDate,Num_of_ticket
0,0.0,Colloquium ,2021-11-28,10
1,0.0,Colloquium ,2021-12-05,0
2,0.0,Colloquium ,2021-12-12,0
3,0.0,Colloquium ,2021-12-19,0
4,0.0,Colloquium ,2021-12-26,0
5,0.0,Colloquium ,2022-01-02,0
6,0.0,Colloquium ,2022-01-09,0
7,0.0,Colloquium ,2022-01-16,0
8,0.0,Colloquium ,2022-01-23,0
9,0.0,Colloquium ,2022-01-30,38
10,0.0,Colloquium ,2022-02-06,0
11,0.0,Colloquium ,2022-02-13,0
12,0.0,Colloquium ,2022-02-20,0
13,0.0,Colloquium ,2022-02-27,42
14,0.0,Colloquium ,2022-03-06,0
15,0.0,Colloquium ,2022-03-13,0
16,0.0,Colloquium ,2022-03-20,216
17,0.0,Colloquium ,2022-03-27,14
18,0.0,Colloquium ,2022-04-03,2
19,0.0,Colloquium ,2022-04-10,0
20,0.0,Colloquium ,2022-04-17,0
21,0.0,Colloquium ,2022-04-24,0
22,0.0,Colloquium ,2022-05-01,0
23,0.0,Colloquium ,2022-05-08,0
24,0.0,Colloquium ,2022-05-15,0
25,0.0,Colloquium ,2022-05-22,0
26,0.0,Colloquium ,2022-05-29,0
27,0.0,Colloquium ,2022-06-05,10
28,0.0,Colloquium ,2022-06-12,42
29,0.0,Colloquium ,2022-06-19,8
30,0.0,Conference / Symposium,2021-08-01,2
31,0.0,Conference / Symposium,2021-08-08,0
32,0.0,Conference / Symposium,2021-08-15,4
33,0.0,Conference / Symposium,2021-08-22,10
34,0.0,Conference / Symposium,2021-08-29,0
35,0.0,Conference / Symposium,2021-09-05,20
36,0.0,Conference / Symposium,2021-09-12,14
37,0.0,Conference / Symposium,2021-09-19,0
38,0.0,Conference / Symposium,2021-09-26,2
39,0.0,Conference / Symposium,2021-10-03,38
40,0.0,Conference / Symposium,2021-10-10,0
41,0.0,Conference / Symposium,2021-10-17,10
42,0.0,Conference / Symposium,2021-10-24,144
43,0.0,Conference / Symposium,2021-10-31,146
44,0.0,Conference / Symposium,2021-11-07,0
45,0.0,Conference / Symposium,2021-11-14,6
46,0.0,Conference / Symposium,2021-11-21,54
47,0.0,Conference / Symposium,2021-11-28,86
48,0.0,Conference / Symposium,2021-12-05,122
49,0.0,Conference / Symposium,2021-12-12,0
50,0.0,Conference / Symposium,2021-12-19,0
51,0.0,Conference / Symposium,2021-12-26,0
52,0.0,Conference / Symposium,2022-01-02,0
53,0.0,Conference / Symposium,2022-01-09,0
54,0.0,Conference / Symposium,2022-01-16,0
55,0.0,Conference / Symposium,2022-01-23,0
56,0.0,Conference / Symposium,2022-01-30,2
57,0.0,Conference / Symposium,2022-02-06,0
58,0.0,Conference / Symposium,2022-02-13,0
59,0.0,Conference / Symposium,2022-02-20,2
60,0.0,Conference / Symposium,2022-02-27,36
61,0.0,Conference / Symposium,2022-03-06,0
62,0.0,Conference / Symposium,2022-03-13,0
63,0.0,Conference / Symposium,2022-03-20,32
64,0.0,Conference / Symposium,2022-03-27,18
65,0.0,Conference / Symposium,2022-04-03,128
66,0.0,Conference / Symposium,2022-04-10,0
67,0.0,Conference / Symposium,2022-04-17,0
68,0.0,Conference / Symposium,2022-04-24,0
69,0.0,Conference / Symposium,2022-05-01,0
70,0.0,Conference / Symposium,2022-05-08,0
71,0.0,Conference / Symposium,2022-05-15,18
72,0.0,Conference / Symposium,2022-05-22,40
73,0.0,Conference / Symposium,2022-05-29,64
74,0.0,Conference / Symposium,2022-06-05,0
75,0.0,Conference / Symposium,2022-06-12,0
76,0.0,Conference / Symposium,2022-06-19,100
77,0.0,Conference / Symposium,2022-06-26,130
78,0.0,Conference / Symposium,2022-07-03,128
79,0.0,Conference / Symposium,2022-07-10,14
80,0.0,Exhibition,2022-06-19,10
81,0.0,Lecture,2021-09-05,44
82,0.0,Lecture,2021-09-12,0
83,0.0,Lecture,2021-09-19,0
84,0.0,Lecture,2021-09-26,72
85,0.0,Lecture,2021-10-03,0
86,0.0,Lecture,2021-10-10,0
87,0.0,Lecture,2021-10-17,196
88,0.0,Lecture,2021-10-24,206
89,0.0,Lecture,2021-10-31,52
90,0.0,Lecture,2021-11-07,0
91,0.0,Lecture,2021-11-14,4
92,0.0,Lecture,2021-11-21,48
93,0.0,Lecture,2021-11-28,42
94,0.0,Lecture,2021-12-05,100
95,0.0,Lecture,2021-12-12,26
96,0.0,Lecture,2021-12-19,82
97,0.0,Lecture,2021-12-26,0
98,0.0,Lecture,2022-01-02,0
99,0.0,Lecture,2022-01-09,0
100,0.0,Lecture,2022-01-16,12
101,0.0,Lecture,2022-01-23,66
102,0.0,Lecture,2022-01-30,72
103,0.0,Lecture,2022-02-06,40
104,0.0,Lecture,2022-02-13,2
105,0.0,Lecture,2022-02-20,66
106,0.0,Lecture,2022-02-27,28
107,0.0,Lecture,2022-03-06,0
108,0.0,Lecture,2022-03-13,0
109,0.0,Lecture,2022-03-20,52
110,0.0,Lecture,2022-03-27,18
111,0.0,Lecture,2022-04-03,46
112,0.0,Lecture,2022-04-10,18
113,0.0,Lecture,2022-04-17,8
114,0.0,Lecture,2022-04-24,130
115,0.0,Lecture,2022-05-01,82
116,0.0,Lecture,2022-05-08,28
117,0.0,Lecture,2022-05-15,14
118,0.0,Lecture,2022-05-22,140
119,0.0,Lecture,2022-05-29,30
120,0.0,Lecture,2022-06-05,44
121,0.0,Lecture,2022-06-12,6
122,0.0,Lecture,2022-06-19,78
123,0.0,Lecture,2022-06-26,70
124,0.0,Lecture,2022-07-03,168
125,0.0,Lunchtime Lecture,2021-11-21,104
126,0.0,Lunchtime Lecture,2021-11-28,0
127,0.0,Lunchtime Lecture,2021-12-05,4
128,0.0,Lunchtime Lecture,2021-12-12,2
129,0.0,Lunchtime Lecture,2021-12-19,16
130,0.0,Lunchtime Lecture,2021-12-26,0
131,0.0,Lunchtime Lecture,2022-01-02,0
132,0.0,Lunchtime Lecture,2022-01-09,0
133,0.0,Lunchtime Lecture,2022-01-16,0
134,0.0,Lunchtime Lecture,2022-01-23,0
135,0.0,Lunchtime Lecture,2022-01-30,8
136,0.0,Lunchtime Lecture,2022-02-06,0
137,0.0,Lunchtime Lecture,2022-02-13,0
138,0.0,Lunchtime Lecture,2022-02-20,2
139,0.0,Lunchtime Lecture,2022-02-27,10
140,0.0,Lunchtime Lecture,2022-03-06,0
141,0.0,Lunchtime Lecture,2022-03-13,0
142,0.0,Lunchtime Lecture,2022-03-20,0
143,0.0,Lunchtime Lecture,2022-03-27,0
144,0.0,Lunchtime Lecture,2022-04-03,0
145,0.0,Lunchtime Lecture,2022-04-10,0
146,0.0,Lunchtime Lecture,2022-04-17,0
147,0.0,Lunchtime Lecture,2022-04-24,0
148,0.0,Lunchtime Lecture,2022-05-01,0
149,0.0,Lunchtime Lecture,2022-05-08,0
150,0.0,Lunchtime Lecture,2022-05-15,0
151,0.0,Lunchtime Lecture,2022-05-22,0
152,0.0,Lunchtime Lecture,2022-05-29,0
153,0.0,Lunchtime Lecture,2022-06-05,0
154,0.0,Lunchtime Lecture,2022-06-12,0
155,0.0,Lunchtime Lecture,2022-06-19,16
156,0.0,Lunchtime Lecture,2022-06-26,8
157,0.0,Other Events,2021-10-24,158
158,0.0,Other Events,2021-10-31,234
159,0.0,Other Events,2021-11-07,0
160,0.0,Other Events,2021-11-14,58
161,0.0,Other Events,2021-11-21,168
162,0.0,Other Events,2021-11-28,64
163,0.0,Other Events,2021-12-05,68
164,0.0,Other Events,2021-12-12,6
165,0.0,Other Events,2021-12-19,44
166,0.0,Other Events,2021-12-26,0
167,0.0,Other Events,2022-01-02,0
168,0.0,Other Events,2022-01-09,0
169,0.0,Other Events,2022-01-16,18
170,0.0,Other Events,2022-01-23,148
171,0.0,Other Events,2022-01-30,114
172,0.0,Other Events,2022-02-06,108
173,0.0,Other Events,2022-02-13,4
174,0.0,Other Events,2022-02-20,56
175,0.0,Other Events,2022-02-27,64
176,0.0,Other Events,2022-03-06,40
177,0.0,Other Events,2022-03-13,16
178,0.0,Other Events,2022-03-20,110
179,0.0,Other Events,2022-03-27,4
180,0.0,Other Events,2022-04-03,0
181,0.0,Other Events,2022-04-10,0
182,0.0,Other Events,2022-04-17,0
183,0.0,Other Events,2022-04-24,40
184,0.0,Other Events,2022-05-01,430
185,0.0,Other Events,2022-05-08,0
186,0.0,Other Events,2022-05-15,20
187,0.0,Other Events,2022-05-22,18
188,0.0,Other Events,2022-05-29,74
189,0.0,Other Events,2022-06-05,0
190,0.0,Other Events,2022-06-12,0
191,0.0,Other Events,2022-06-19,40
192,0.0,Other Events,2022-06-26,26
193,0.0,Other Events,2022-07-03,8
194,0.0,"Others, Group 1",2017-11-26,594
195,0.0,"Others, Group 1",2017-12-03,102
196,0.0,"Others, Group 1",2017-12-10,0
197,0.0,"Others, Group 1",2017-12-17,132
198,0.0,"Others, Group 10",2020-03-08,2
199,0.0,"Others, Group 10",2020-03-15,0
200,0.0,"Others, Group 10",2020-03-22,0
201,0.0,"Others, Group 10",2020-03-29,0
202,0.0,"Others, Group 10",2020-04-05,0
203,0.0,"Others, Group 10",2020-04-12,0
204,0.0,"Others, Group 10",2020-04-19,0
205,0.0,"Others, Group 10",2020-04-26,0
206,0.0,"Others, Group 10",2020-05-03,0
207,0.0,"Others, Group 10",2020-05-10,0
208,0.0,"Others, Group 10",2020-05-17,0
209,0.0,"Others, Group 10",2020-05-24,0
210,0.0,"Others, Group 10",2020-05-31,0
211,0.0,"Others, Group 10",2020-06-07,0
212,0.0,"Others, Group 10",2020-06-14,0
213,0.0,"Others, Group 10",2020-06-21,0
214,0.0,"Others, Group 10",2020-06-28,0
215,0.0,"Others, Group 10",2020-07-05,0
216,0.0,"Others, Group 10",2020-07-12,0
217,0.0,"Others, Group 10",2020-07-19,0
218,0.0,"Others, Group 10",2020-07-26,0
219,0.0,"Others, Group 10",2020-08-02,0
220,0.0,"Others, Group 10",2020-08-09,0
221,0.0,"Others, Group 10",2020-08-16,0
222,0.0,"Others, Group 10",2020-08-23,0
223,0.0,"Others, Group 10",2020-08-30,0
224,0.0,"Others, Group 10",2020-09-06,0
225,0.0,"Others, Group 10",2020-09-13,0
226,0.0,"Others, Group 10",2020-09-20,0
227,0.0,"Others, Group 10",2020-09-27,0
228,0.0,"Others, Group 10",2020-10-04,0
229,0.0,"Others, Group 10",2020-10-11,0
230,0.0,"Others, Group 10",2020-10-18,0
231,0.0,"Others, Group 10",2020-10-25,0
232,0.0,"Others, Group 10",2020-11-01,0
233,0.0,"Others, Group 10",2020-11-08,0
234,0.0,"Others, Group 10",2020-11-15,0
235,0.0,"Others, Group 10",2020-11-22,0
236,0.0,"Others, Group 10",2020-11-29,0
237,0.0,"Others, Group 10",2020-12-06,0
238,0.0,"Others, Group 10",2020-12-13,0
239,0.0,"Others, Group 10",2020-12-20,0
240,0.0,"Others, Group 10",2020-12-27,0
241,0.0,"Others, Group 10",2021-01-03,0
242,0.0,"Others, Group 10",2021-01-10,0
243,0.0,"Others, Group 10",2021-01-17,0
244,0.0,"Others, Group 10",2021-01-24,0
245,0.0,"Others, Group 10",2021-01-31,0
246,0.0,"Others, Group 10",2021-02-07,0
247,0.0,"Others, Group 10",2021-02-14,0
248,0.0,"Others, Group 10",2021-02-21,0
249,0.0,"Others, Group 10",2021-02-28,0
250,0.0,"Others, Group 10",2021-03-07,0
251,0.0,"Others, Group 10",2021-03-14,0
252,0.0,"Others, Group 10",2021-03-21,0
253,0.0,"Others, Group 10",2021-03-28,0
254,0.0,"Others, Group 10",2021-04-04,0
255,0.0,"Others, Group 10",2021-04-11,0
256,0.0,"Others, Group 10",2021-04-18,0
257,0.0,"Others, Group 10",2021-04-25,0
258,0.0,"Others, Group 10",2021-05-02,0
259,0.0,"Others, Group 10",2021-05-09,0
260,0.0,"Others, Group 10",2021-05-16,0
261,0.0,"Others, Group 10",2021-05-23,0
262,0.0,"Others, Group 10",2021-05-30,0
